Strategy,Date,Original Cash Weight,New Cash Weight,Cash Reallocated,Original Non-SHY Weight,New Non-SHY Weight,Active Non-SHY Assets Used,Redistribution Method,Total Weight After
Trend + Inv Vol,2008-04-30,1.0,0.1,0.9,0.0,0.8999999999999999,10,Equal-weight non-SHY fallback,0.9999999999999999
Trend + Inv Vol + Vol Cap,2008-04-30,1.0,0.1,0.9,0.0,0.8999999999999999,10,Equal-weight non-SHY fallback,0.9999999999999999
Trend + Inv Vol,2008-05-31,1.0,0.1,0.9,0.0,0.8999999999999999,10,Equal-weight non-SHY fallback,0.9999999999999999
Trend + Inv Vol + Vol Cap,2008-05-31,1.0,0.1,0.9,0.0,0.8999999999999999,10,Equal-weight non-SHY fallback,0.9999999999999999
Trend + Inv Vol,2008-06-30,1.0,0.1,0.9,0.0,0.8999999999999999,10,Equal-weight non-SHY fallback,0.9999999999999999
Trend + Inv Vol + Vol Cap,2008-06-30,1.0,0.1,0.9,0.0,0.8999999999999999,10,Equal-weight non-SHY fallback,0.9999999999999999
Trend + Inv Vol,2008-07-31,1.0,0.1,0.9,0.0,0.8999999999999999,10,Equal-weight non-SHY fallback,0.9999999999999999
Trend + Inv Vol + Vol Cap,2008-07-31,1.0,0.1,0.9,0.0,0.8999999999999999,10,Equal-weight non-SHY fallback,0.9999999999999999
Trend + Inv Vol,2008-08-31,1.0,0.1,0.9,0.0,0.8999999999999999,10,Equal-weight non-SHY fallback,0.9999999999999999
Trend + Inv Vol + Vol Cap,2008-08-31,1.0,0.1,0.9,0.0,0.8999999999999999,10,Equal-weight non-SHY fallback,0.9999999999999999
Trend + Inv Vol,2008-09-30,1.0,0.1,0.9,0.0,0.8999999999999999,10,Equal-weight non-SHY fallback,0.9999999999999999
Trend + Inv Vol + Vol Cap,2008-09-30,1.0,0.1,0.9,0.0,0.8999999999999999,10,Equal-weight non-SHY fallback,0.9999999999999999
Trend + Inv Vol,2008-10-31,1.0,0.1,0.9,0.0,0.8999999999999999,10,Equal-weight non-SHY fallback,0.9999999999999999
Trend + Inv Vol + Vol Cap,2008-10-31,1.0,0.1,0.9,0.0,0.8999999999999999,10,Equal-weight non-SHY fallback,0.9999999999999999
Trend + Inv Vol,2008-11-30,1.0,0.1,0.9,0.0,0.8999999999999999,10,Equal-weight non-SHY fallback,0.9999999999999999
Trend + Inv Vol + Vol Cap,2008-11-30,1.0,0.1,0.9,0.0,0.8999999999999999,10,Equal-weight non-SHY fallback,0.9999999999999999
Trend + Inv Vol,2008-12-31,1.0,0.1,0.9,0.0,0.8999999999999999,10,Equal-weight non-SHY fallback,0.9999999999999999
Trend + Inv Vol + Vol Cap,2008-12-31,1.0,0.1,0.9,0.0,0.8999999999999999,10,Equal-weight non-SHY fallback,0.9999999999999999
Trend + Inv Vol,2009-01-31,1.0,0.1,0.9,0.0,0.8999999999999999,10,Equal-weight non-SHY fallback,0.9999999999999999
Trend + Inv Vol + Vol Cap,2009-01-31,1.0,0.1,0.9,0.0,0.8999999999999999,10,Equal-weight non-SHY fallback,0.9999999999999999
Trend + Inv Vol,2009-02-28,1.0,0.1,0.9,0.0,0.8999999999999999,10,Equal-weight non-SHY fallback,0.9999999999999999
Trend + Inv Vol + Vol Cap,2009-02-28,1.0,0.1,0.9,0.0,0.8999999999999999,10,Equal-weight non-SHY fallback,0.9999999999999999
Trend + Inv Vol,2009-03-31,1.0,0.1,0.9,0.0,0.8999999999999999,10,Equal-weight non-SHY fallback,0.9999999999999999
Trend + Inv Vol + Vol Cap,2009-03-31,1.0,0.1,0.9,0.0,0.8999999999999999,10,Equal-weight non-SHY fallback,0.9999999999999999
Trend + Inv Vol,2009-04-30,1.0,0.1,0.9,0.0,0.8999999999999999,10,Equal-weight non-SHY fallback,0.9999999999999999
Trend + Inv Vol + Vol Cap,2009-04-30,1.0,0.1,0.9,0.0,0.8999999999999999,10,Equal-weight non-SHY fallback,0.9999999999999999
Trend + Inv Vol,2009-05-31,1.0,0.1,0.9,0.0,0.8999999999999999,10,Equal-weight non-SHY fallback,0.9999999999999999
Trend + Inv Vol + Vol Cap,2009-05-31,1.0,0.1,0.9,0.0,0.8999999999999999,10,Equal-weight non-SHY fallback,0.9999999999999999
Trend + Inv Vol,2009-06-30,1.0,0.1,0.9,0.0,0.8999999999999999,10,Equal-weight non-SHY fallback,0.9999999999999999
Trend + Inv Vol + Vol Cap,2009-06-30,1.0,0.1,0.9,0.0,0.8999999999999999,10,Equal-weight non-SHY fallback,0.9999999999999999
Trend + Inv Vol,2009-07-31,1.0,0.1,0.9,0.0,0.8999999999999999,10,Equal-weight non-SHY fallback,0.9999999999999999
Trend + Inv Vol + Vol Cap,2009-07-31,1.0,0.1,0.9,0.0,0.8999999999999999,10,Equal-weight non-SHY fallback,0.9999999999999999
Trend + Inv Vol,2009-08-31,1.0,0.1,0.9,0.0,0.8999999999999999,10,Equal-weight non-SHY fallback,0.9999999999999999
Trend + Inv Vol + Vol Cap,2009-08-31,1.0,0.1,0.9,0.0,0.8999999999999999,10,Equal-weight non-SHY fallback,0.9999999999999999
Trend + Inv Vol,2009-09-30,1.0,0.1,0.9,0.0,0.8999999999999999,10,Equal-weight non-SHY fallback,0.9999999999999999
Trend + Inv Vol + Vol Cap,2009-09-30,1.0,0.1,0.9,0.0,0.8999999999999999,10,Equal-weight non-SHY fallback,0.9999999999999999
